Date/Time	Elapsed Time	Pump 1 Flow (mL/min)	Pump 2 Flow (mL/min)	Pump 3 Flow (mL/min)	Pump 4 Flow (mL/min)	Coriolis Flow (mL/min)	Pump 1 Pressure (bar)	Pump 2 Pressure (bar)	Pump 3 Pressure (bar)	Pump 4 Pressure (bar)	UV detector 1 (mAU) 	UV detector 2 (mAU)
04/04/2023 16:25:00	00:02:57	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	4,03	0,00
04/04/2023 16:25:01	00:02:58	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	4,00	0,00
04/04/2023 16:25:02	00:02:59	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	3,97	0,00
04/04/2023 16:25:03	00:03:00	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	3,94	0,00
04/04/2023 16:25:04	00:03:01	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	4,07	0,00
04/04/2023 16:25:05	00:03:02	1,00	0,00	0,00	0,00	0,03	54,00	0,00	0,00	0,00	4,39	0,00
04/04/2023 16:25:06	00:03:03	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	4,81	0,00
04/04/2023 16:25:07	00:03:04	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	5,24	0,00
04/04/2023 16:25:08	00:03:05	1,00	0,00	0,00	0,00	0,03	52,00	0,00	0,00	0,00	5,55	0,00
04/04/2023 16:25:09	00:03:06	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	5,63	0,00
04/04/2023 16:25:10	00:03:07	1,00	0,00	0,00	0,00	0,03	54,00	0,00	0,00	0,00	5,51	0,00
04/04/2023 16:25:11	00:03:08	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	5,26	0,00
04/04/2023 16:25:12	00:03:09	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	4,87	0,00
04/04/2023 16:25:13	00:03:10	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	4,50	0,00
04/04/2023 16:25:14	00:03:11	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	4,12	0,00
04/04/2023 16:25:15	00:03:12	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	3,77	0,00
04/04/2023 16:25:16	00:03:13	1,00	0,00	0,00	0,00	0,03	55,00	1,00	1,00	0,00	3,48	0,00
04/04/2023 16:25:17	00:03:14	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	3,31	0,00
04/04/2023 16:25:18	00:03:15	1,00	0,00	0,00	0,00	0,03	52,00	1,00	0,00	0,00	3,24	0,00
04/04/2023 16:25:19	00:03:16	1,00	0,00	0,00	0,00	0,03	53,00	0,00	0,00	0,00	3,27	0,00
04/04/2023 16:25:20	00:03:17	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	3,26	0,00
04/04/2023 16:25:21	00:03:18	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	3,32	0,00
04/04/2023 16:25:22	00:03:19	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	3,40	0,00
04/04/2023 16:25:23	00:03:20	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	3,46	0,00
04/04/2023 16:25:24	00:03:21	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	3,60	0,00
04/04/2023 16:25:25	00:03:22	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	3,69	0,00
04/04/2023 16:25:26	00:03:24	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	3,91	0,00
04/04/2023 16:25:27	00:03:25	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	4,20	0,00
04/04/2023 16:25:28	00:03:26	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	4,56	0,00
